t,x_ref,y_ref,x,y,psi,delta,v,delta_dot
0.05, 0, 0, 0.15708, 0, 0.015708, 0.244979, 3.14159, 0
0.1, 0, 0, 0.31414, 0.0024673, 0.0314159, 0.244979, 3.14159, 0
0.15, 0, 0, 0.471142, 0.00740129, 0.0471239, 0.244979, 3.14159, 0
0.2, 0, 0, 0.628047, 0.0148008, 0.0628319, 0.244979, 3.14159, 0
0.25, 0, 0, 0.784817, 0.0246639, 0.0785398, 0.244979, 3.14159, 0
0.3, 0, 0, 0.941412, 0.0369882, 0.0942478, 0.244979, 3.14159, 0
0.35, 0, 0, 1.09779, 0.0517707, 0.109956, 0.244979, 3.14159, 0
0.4, 0, 0, 1.25393, 0.0690077, 0.125664, 0.244979, 3.14159, 0
0.45, 0, 0, 1.40977, 0.088695, 0.141372, 0.244979, 3.14159, 0
0.5, 0, 0, 1.56528, 0.110828, 0.15708, 0.244979, 3.14159, 0
0.55, 0, 0, 1.72043, 0.1354, 0.172788, 0.244979, 3.14159, 0
0.6, 0, 0, 1.87517, 0.162407, 0.188496, 0.244979, 3.14159, 0
0.65, 0, 0, 2.02946, 0.191841, 0.204204, 0.244979, 3.14159, 0
0.7, 0, 0, 2.18328, 0.223694, 0.219911, 0.244979, 3.14159, 0
0.75, 0, 0, 2.33658, 0.25796, 0.235619, 0.244979, 3.14159, 0
0.8, 0, 0, 2.48932, 0.29463, 0.251327, 0.244979, 3.14159, 0
0.85, 0, 0, 2.64146, 0.333694, 0.267035, 0.244979, 3.14159, 0
0.9, 0, 0, 2.79297, 0.375143, 0.282743, 0.244979, 3.14159, 0
0.95, 0, 0, 2.94381, 0.418967, 0.298451, 0.244979, 3.14159, 0
1, 0, 0, 3.09395, 0.465155, 0.314159, 0.244979, 3.14159, 0
1.05, 0, 0, 3.24334, 0.513695, 0.329867, 0.244979, 3.14159, 0
1.1, 0, 0, 3.39195, 0.564576, 0.345575, 0.244979, 3.14159, 0
1.15, 0, 0, 3.53975, 0.617785, 0.361283, 0.244979, 3.14159, 0
1.2, 0, 0, 3.68669, 0.673308, 0.376991, 0.244979, 3.14159, 0
1.25, 0, 0, 3.83273, 0.731133, 0.392699, 0.244979, 3.14159, 0
1.3, 0, 0, 3.97786, 0.791245, 0.408407, 0.244979, 3.14159, 0
1.35, 0, 0, 4.12202, 0.853629, 0.424115, 0.244979, 3.14159, 0
1.4, 0, 0, 4.26518, 0.918269, 0.439823, 0.244979, 3.14159, 0
1.45, 0, 0, 4.40731, 0.985151, 0.455531, 0.244979, 3.14159, 0
1.5, 0, 0, 4.54837, 1.05426, 0.471239, 0.244979, 3.14159, 0
1.55, 0, 0, 4.68833, 1.12557, 0.486947, 0.244979, 3.14159, 0
1.6, 0, 0, 4.82715, 1.19907, 0.502655, 0.244979, 3.14159, 0
1.65, 0, 0, 4.9648, 1.27474, 0.518363, 0.244979, 3.14159, 0
1.7, 0, 0, 5.10125, 1.35257, 0.534071, 0.244979, 3.14159, 0
1.75, 0, 0, 5.23645, 1.43253, 0.549779, 0.244979, 3.14159, 0
1.8, 0, 0, 5.37038, 1.5146, 0.565487, 0.244979, 3.14159, 0
1.85, 0, 0, 5.50301, 1.59877, 0.581195, 0.244979, 3.14159, 0
1.9, 0, 0, 5.6343, 1.68501, 0.596903, 0.244979, 3.14159, 0
1.95, 0, 0, 5.76422, 1.7733, 0.612611, 0.244979, 3.14159, 0
2, 0, 0, 5.89273, 1.86363, 0.628319, 0.244979, 3.14159, 0
2.05, 0, 0, 6.01981, 1.95596, 0.644026, 0.244979, 3.14159, 0
2.1, 0, 0, 6.14543, 2.05027, 0.659734, 0.244979, 3.14159, 0
2.15, 0, 0, 6.26954, 2.14654, 0.675442, 0.244979, 3.14159, 0
2.2, 0, 0, 6.39213, 2.24476, 0.69115, 0.244979, 3.14159, 0
2.25, 0, 0, 6.51316, 2.34488, 0.706858, 0.244979, 3.14159, 0
2.3, 0, 0, 6.63261, 2.4469, 0.722566, 0.244979, 3.14159, 0
2.35, 0, 0, 6.75044, 2.55078, 0.738274, 0.244979, 3.14159, 0
2.4, 0, 0, 6.86662, 2.65649, 0.753982, 0.244979, 3.14159, 0
2.45, 0, 0, 6.98112, 2.76402, 0.76969, 0.244979, 3.14159, 0
2.5, 0, 0, 7.09393, 2.87334, 0.785398, 0.244979, 3.14159, 0
2.55, 0, 0, 7.205, 2.98441, 0.801106, 0.244979, 3.14159, 0
2.6, 0, 0, 7.31431, 3.09721, 0.816814, 0.244979, 3.14159, 0
2.65, 0, 0, 7.42184, 3.21172, 0.832522, 0.244979, 3.14159, 0
2.7, 0, 0, 7.52756, 3.3279, 0.84823, 0.244979, 3.14159, 0
2.75, 0, 0, 7.63144, 3.44573, 0.863938, 0.244979, 3.14159, 0
2.8, 0, 0, 7.73345, 3.56517, 0.879646, 0.244979, 3.14159, 0
2.85, 0, 0, 7.83358, 3.6862, 0.895354, 0.244979, 3.14159, 0
2.9, 0, 0, 7.93179, 3.80879, 0.911062, 0.244979, 3.14159, 0
2.95, 0, 0, 8.02807, 3.93291, 0.92677, 0.244979, 3.14159, 0
3, 0, 0, 8.12238, 4.05852, 0.942478, 0.244979, 3.14159, 0
3.05, 0, 0, 8.21471, 4.1856, 0.958186, 0.244979, 3.14159, 0
3.1, 0, 0, 8.30503, 4.31412, 0.973894, 0.244979, 3.14159, 0
3.15, 0, 0, 8.39332, 4.44403, 0.989602, 0.244979, 3.14159, 0
3.2, 0, 0, 8.47956, 4.57532, 1.00531, 0.244979, 3.14159, 0
3.25, 0, 0, 8.56373, 4.70795, 1.02102, 0.244979, 3.14159, 0
3.3, 0, 0, 8.6458, 4.84188, 1.03673, 0.244979, 3.14159, 0
3.35, 0, 0, 8.72576, 4.97709, 1.05243, 0.244979, 3.14159, 0
3.4, 0, 0, 8.80359, 5.11353, 1.06814, 0.244979, 3.14159, 0
3.45, 0, 0, 8.87926, 5.25118, 1.08385, 0.244979, 3.14159, 0
3.5, 0, 0, 8.95277, 5.39, 1.09956, 0.244979, 3.14159, 0
3.55, 0, 0, 9.02408, 5.52996, 1.11527, 0.244979, 3.14159, 0
